id;numero_documento;nombre;apellido;correo;nombrerepresentantelegal;telefonocelular;telefonofijo;telefonoempresarial;telefonorepresentantelegal;direccionresidencial;direccionempresarial;direccionrepresentantelegal;fechanacimiento;idusuario;imagen_url;imagen_url_content_type;idciudad;anonimo;tipo_documento_id;estadocliente_id
1;5;Som Tools;matrix;New Jersey enterprise synthesize;Operative Green Incredible;payment capability;Quality;Up-sized Savings Account Home;Executive incubate;Keys Usability transmit;Gloves transmitter;synthesize Specialist;2020-03-12;Product;../fake-data/blob/hipster.png;image/png;15760;true;1;1
2;8;driver;feedX;payment Auto Loan Account;Practical;tan transitional Flat;Avon Shoal dynamic;Product;Intelligent Granite Solutions;Frozen;invoice;deposit instruction set;2020-03-13;lime Home Loan Account Investment Account;../fake-data/blob/hipster.png;image/png;35901;true;2;2
3;7;Indonesia;panel online withdrawal;auxiliary;Assurance Cambridgeshire multi-state;calculate;haptic Car Investor;protocol bandwidth;24/365;National sticky;Investment Account client-driven Investment Account;Auto Loan Account Chips synergy;2020-03-12;wireless;../fake-data/blob/hipster.png;image/png;47836;false;3;3
4;15;Oregon microchip;microchip Legacy;Customer mobile;Platinum;Program;Tuna Credit Card Account;Extensions vertical withdrawal;implement;Configuration;Alabama;Sleek Trail;2020-03-13;Administrator Mozambique;../fake-data/blob/hipster.png;image/png;33167;true;4;4
5;13;Michigan;calculating Somali Shilling utilisation;navigate withdrawal;Cambridgeshire;Bacon capacitor Wall;North Dakota primary Investor;online PCI 24/7;Sudanese Pound;Configurable Handcrafted Cotton Pizza;Reactive;partnerships Intranet Specialist;2020-03-12;Kansas Legacy Libyan Dinar;../fake-data/blob/hipster.png;image/png;71946;false;5;5
6;7;e-business Corporate;Engineer Dynamic;Phased;Meadow Books;Future digital;Tasty Granite Bacon utilize Mountains;Health invoice;Music;payment Rubber Way;Frozen 5th generation Shirt;actuating backing up;2020-03-13;success action-items Maine;../fake-data/blob/hipster.png;image/png;87109;true;6;6
7;5;withdrawal Electronics Steel;Cloned intermediate overriding;regional;Credit Card Account user-centric Automotive;Plastic Refined Metal Fish virtual;applications;New Caledonia;PNGXX;cross-platform invoice;Small Wooden Chips Groves withdrawal;Towels non-volatile;2020-03-12;Rustic calculating Berkshire;../fake-data/blob/hipster.png;image/png;15878;true;7;7
8;10;Berkshire PNG;HTTP distributed;synthesizing Developer reboot;Locks;yellow bypassing;Books Music;zero tolerance redefine;Beauty mobile Bermuda;Specialist;JBOD Nebraska auxiliary;back-end Program;2020-03-13;revolutionary copy Syrian Pound;../fake-data/blob/hipster.png;image/png;88805;false;8;8
9;7;Gabon XSS analyzer;tanXX;deposit Generic Wooden Soap Concrete;Product Buckinghamshire;e-markets monitor Keyboard;overriding;Connecticut whiteboard;Markets;Landing;bypassing Customer;engineer program;2020-03-12;withdrawal;../fake-data/blob/hipster.png;image/png;74813;true;9;9
10;19;infrastructure;ROIXX;bus distributed brand;Alabama firewall Fantastic Soft Tuna;markets Customer-focused;portals PCI Planner;Georgia Ergonomic Steel Sausages;COM Sharable;optical;withdrawal;EXEXX;2020-03-13;benchmark;../fake-data/blob/hipster.png;image/png;11364;false;10;10
