id;numero_documento;nombre_o_razon_social;correo;telefonocelular;telefonofijo;telefonoempresarial;direccionresidencial;direccionempresarial;idusuario;imagen_url;imagen_url_content_type;idciudad;tipo_documento_id
1;18;North Korean Won 1080p;capability payment;hardware Utah;Awesome Plastic Towels violet Representative;bluetooth Fantastic;Yen drive;Argentine Peso alarm;Handcrafted Reactive Tasty;../fake-data/blob/hipster.png;image/png;45083;1
2;8;Auto Loan Account Bike Streamlined;Buckinghamshire;navigating;Washington;Supervisor Baby Programmable;Electronics Cape;FTP Outdoors USB;Fresh full-range;../fake-data/blob/hipster.png;image/png;43027;2
3;8;solutions;methodologies;Stand-alone Auto Loan Account Algeria;mobile;Cotton;PeruX;Principal Security;Associate Planner Human;../fake-data/blob/hipster.png;image/png;78251;3
4;9;payment revolutionary;ivory Money Market Account;invoice;paradigm;Iranian Rial;Corporate parse Skyway;architecture Gorgeous;Bedfordshire;../fake-data/blob/hipster.png;image/png;97717;4
5;18;Home Loan Account auxiliary optical;purple Lead Jewelery;Intelligent;innovative withdrawal;Savings Account customized Switzerland;Regional Savings Account;Frozen redundant Handmade Metal Towels;Bedfordshire Parkway;../fake-data/blob/hipster.png;image/png;9863;5
6;15;invoice;synthesize backing up Pre-emptive;XSS Kazakhstan Cameroon;azure Taka;pink Guyana Dollar;back-end COM;Chile Movies coherent;French Guiana;../fake-data/blob/hipster.png;image/png;14165;6
7;6;Salad;Product;infrastructures Afghani;approach interface mindshare;pricing structure primary primary;streamline high-level;matrix Berkshire Tasty Soft Bike;Home Loan Account parse;../fake-data/blob/hipster.png;image/png;96621;7
8;10;District;Right-sized;Incredible Rubber Towels;ivory;Organic Frozen moderator;sensor Marketing Computers;Director redundant;Generic Fresh Keyboard;../fake-data/blob/hipster.png;image/png;15954;8
9;12;Granite;panel monitor overriding;programming;Credit Card Account compressing;haptic;cross-platform CSS Virginia;system;Engineer;../fake-data/blob/hipster.png;image/png;46058;9
10;5;Manager Paradigm;Handcrafted Fresh Pants;Japan;digital Movies;protocol Knoll;Walks silver Awesome;transform compress;Suriname project;../fake-data/blob/hipster.png;image/png;31425;10
